Source,station,AccessMode,Brd_OD,Brd_Direct_OD,Brd_Transfer_OD
OBS,15-PROVO CENTRAL STATION,drive,1510.546,1510.546,0.0
OBS,15-PROVO CENTRAL STATION,walk,1335.111,319.299,1015.812
OBS,14-OREM CENTRAL STATION,drive,900.853,864.088,36.765
OBS,14-OREM CENTRAL STATION,walk,938.957,233.686,705.271
OBS,13-AMERICAN FORK STATION,drive,772.848,772.848,0.0
OBS,13-AMERICAN FORK STATION,walk,14.514,0.0,14.514
OBS,12-LEHI STATION,drive,821.488,821.488,0.0
OBS,12-LEHI STATION,walk,617.316,369.282,248.034
OBS,11-DRAPER STATION,drive,597.636,597.636,0.0
OBS,11-DRAPER STATION,walk,442.991,404.884,38.107
OBS,10-SOUTH JORDAN STATION,drive,616.688,616.688,0.0
OBS,10-SOUTH JORDAN STATION,walk,396.061,273.826,122.235
OBS,09-MURRAY CENTRAL STATION,drive,589.908,471.299,118.609
OBS,09-MURRAY CENTRAL STATION,walk,1351.543,240.821,1110.722
OBS,08-SALT LAKE CENTRAL STATION,drive,518.835,472.902,45.933
OBS,08-SALT LAKE CENTRAL STATION,walk,1570.717,493.701,1077.016
OBS,07-NORTH TEMPLE STATION,drive,411.107,393.477,17.63
OBS,07-NORTH TEMPLE STATION,walk,2529.531,1238.61,1290.921
OBS,06-WOODS CROSS STATION,drive,442.753,442.753,0.0
OBS,06-WOODS CROSS STATION,walk,156.426,128.816,27.61
OBS,05-FARMINGTON STATION,drive,285.257,285.257,0.0
OBS,05-FARMINGTON STATION,walk,217.221,190.002,27.219
OBS,04-LAYTON STATION,drive,622.265,622.265,0.0
OBS,04-LAYTON STATION,walk,229.785,145.5,84.285
OBS,03-CLEARFIELD STATION,drive,496.899,482.896,14.003
OBS,03-CLEARFIELD STATION,walk,178.247,93.513,84.734
OBS,02-ROY STATION,drive,424.983,424.983,0.0
OBS,02-ROY STATION,walk,60.121,49.805,10.316
OBS,01-OGDEN STATION,drive,918.636,910.785,7.851
OBS,01-OGDEN STATION,walk,658.767,216.156,442.611
